time,A,B,S
                 500,  1, 1, 2
                 502,  1, 1, 2
                 504,  1, 1, 2
                 506,  1, 1, 2
                 508,  1, 1, 2
                 510,  1, 1, 2
                 512,  1, 1, 2
                 514,  1, 1, 2
                 516,  1, 1, 2
                 518,  1, 1, 2
                 520,  1, 1, 2
                 522,  1, 1, 2
                 524,  1, 1, 2
                 526,  1, 1, 2
                 528,  1, 1, 2
                 530,  1, 1, 2
                 532,  1, 1, 2
                 534,  1, 1, 2
                 536,  1, 1, 2
                 538,  1, 1, 2
                 540,  1, 1, 2
                 542,  1, 1, 2
                 544,  1, 1, 2
                 546,  1, 1, 2
                 548,  1, 1, 2
                 550,  1, 1, 2
                 552,  1, 1, 2
                 554,  1, 1, 2
                 556,  1, 1, 2
                 558,  1, 1, 2
                 560,  1, 1, 2
                 562,  1, 1, 2
                 564,  1, 1, 2
                 566,  1, 1, 2
                 568,  1, 1, 2
                 570,  1, 1, 2
                 572,  1, 1, 2
                 574,  1, 1, 2
                 576,  1, 1, 2
                 578,  1, 1, 2
                 580,  1, 1, 2
                 582,  1, 1, 2
                 584,  1, 1, 2
                 586,  1, 1, 2
                 588,  1, 1, 2
                 590,  1, 1, 2
                 592,  1, 1, 2
                 594,  1, 1, 2
                 596,  1, 1, 2
                 598,  1, 1, 2
                 600,  1, 1, 2
                 602,  1, 1, 2
                 604,  1, 1, 2
                 606,  1, 1, 2
                 608,  1, 1, 2
                 610,  1, 1, 2
                 612,  1, 1, 2
                 614,  1, 1, 2
                 616,  1, 1, 2
                 618,  1, 1, 2
                 620,  1, 1, 0
                 622,  1, 1, 0
                 624,  1, 1, 0
                 626,  1, 1, 0
                 628,  1, 1, 0
                 630,  1, 1, 0
                 632,  1, 1, 0
                 634,  1, 1, 0
                 636,  1, 1, 0
                 638,  1, 1, 0
                 640,  1, 1, 8
                 642,  1, 1, 8
                 644,  1, 1, 8
                 646,  1, 1, 8
                 648,  1, 1, 8
                 650,  1, 1, 2
                 652,  1, 1, 2
                 654,  1, 1, 2
                 656,  1, 1, 2
                 658,  1, 1, 2
                 660,  1, 1, 2
                 662,  1, 1, 2
                 664,  1, 1, 2
                 666,  1, 1, 2
                 668,  1, 1, 2
                 670,  1, 1, 2
                 672,  1, 1, 2
                 674,  1, 1, 2
                 676,  1, 1, 2
                 678,  1, 1, 2
                 680,  1, 1, 2
                 682,  1, 1, 2
                 684,  1, 1, 2
                 686,  1, 1, 2
                 688,  1, 1, 2
                 690,  1, 1,15
                 692,  1, 1,15
                 694,  1, 1,15
                 696,  1, 1,15
                 698,  1, 1,15
                 700,  1, 1, 1
                 702,  1, 1, 1
                 704,  1, 1, 1
                 706,  1, 1, 1
                 708,  1, 1, 1
                 710,  1, 1, 1
                 712,  1, 1, 1
                 714,  1, 1, 1
                 716,  1, 1, 1
                 718,  1, 1, 1
                 720,  1, 1, 0
                 722,  1, 1, 0
                 724,  1, 1, 0
                 726,  1, 1, 0
                 728,  1, 1, 0
                 730,  1, 1, 4
                 732,  1, 1, 4
                 734,  1, 1, 4
                 736,  1, 1, 4
                 738,  1, 1, 4
                 740,  1, 1, 4
                 742,  1, 1, 4
                 744,  1, 1, 4
                 746,  1, 1, 4
                 748,  1, 1, 4
                 750,  1, 1, 2
                 752,  1, 1, 2
                 754,  1, 1, 2
                 756,  1, 1, 2
                 758,  1, 1, 2
                 760,  1, 1, 2
                 762,  1, 1, 2
                 764,  1, 1, 2
                 766,  1, 1, 2
                 768,  1, 1, 2
                 770,  1, 1,15
                 772,  1, 1,15
                 774,  1, 1,15
                 776,  1, 1,15
                 778,  1, 1,15
                 780,  1, 1,15
                 782,  1, 1,15
                 784,  1, 1,15
                 786,  1, 1,15
                 788,  1, 1,15
                 790,  1, 1, 2
                 792,  1, 1, 2
                 794,  1, 1, 2
                 796,  1, 1, 2
                 798,  1, 1, 2
                 800,  1, 1, 2
                 802,  1, 1, 2
                 804,  1, 1, 2
                 806,  1, 1, 2
                 808,  1, 1, 2
                 810,  1, 1, 0
                 812,  1, 1, 0
                 814,  1, 1, 0
                 816,  1, 1, 0
                 818,  1, 1, 0
                 820,  1, 1, 2
                 822,  1, 1, 2
                 824,  1, 1, 2
                 826,  1, 1, 2
                 828,  1, 1, 2
                 830,  1, 1, 2
                 832,  1, 1, 2
                 834,  1, 1, 2
                 836,  1, 1, 2
                 838,  1, 1, 2
                 840,  1, 1, 2
                 842,  1, 1, 2
                 844,  1, 1, 2
                 846,  1, 1, 2
                 848,  1, 1, 2
                 850,  1, 1, 2
                 852,  1, 1, 2
                 854,  1, 1, 2
                 856,  1, 1, 2
                 858,  1, 1, 2
                 860,  1, 1, 2
                 862,  1, 1, 2
                 864,  1, 1, 2
                 866,  1, 1, 2
                 868,  1, 1, 2
                 870,  1, 1, 2
                 872,  1, 1, 2
                 874,  1, 1, 2
                 876,  1, 1, 2
                 878,  1, 1, 2
                 880,  1, 1, 2
                 882,  1, 1, 2
                 884,  1, 1, 2
                 886,  1, 1, 2
                 888,  1, 1, 2
                 890,  1, 1, 0
                 892,  1, 1, 0
                 894,  1, 1, 0
                 896,  1, 1, 0
                 898,  1, 1, 0
                 900,  1, 1, 2
                 902,  1, 1, 2
                 904,  1, 1, 2
                 906,  1, 1, 2
                 908,  1, 1, 2
                 910,  1, 1, 0
                 912,  1, 1, 0
                 914,  1, 1, 0
                 916,  1, 1, 0
                 918,  1, 1, 0
                 920,  1, 1, 4
                 922,  1, 1, 4
                 924,  1, 1, 4
                 926,  1, 1, 4
                 928,  1, 1, 4
                 930,  1, 1, 4
                 932,  1, 1, 4
                 934,  1, 1, 4
                 936,  1, 1, 4
                 938,  1, 1, 4
                 940,  1, 1, 0
                 942,  1, 1, 0
                 944,  1, 1, 0
                 946,  1, 1, 0
                 948,  1, 1, 0
                 950,  1, 1, 2
                 952,  1, 1, 2
                 954,  1, 1, 2
                 956,  1, 1, 2
                 958,  1, 1, 2
                 960,  1, 1, 2
                 962,  1, 1, 2
                 964,  1, 1, 2
                 966,  1, 1, 2
                 968,  1, 1, 2
                 970,  1, 1, 2
                 972,  1, 1, 2
                 974,  1, 1, 2
                 976,  1, 1, 2
                 978,  1, 1, 2
                 980,  1, 1, 2
                 982,  1, 1, 2
                 984,  1, 1, 2
                 986,  1, 1, 2
                 988,  1, 1, 2
                 990,  1, 1, 2
                 992,  1, 1, 2
                 994,  1, 1, 2
                 996,  1, 1, 2
                 998,  1, 1, 2
                1000,  1, 1, 2
                1002,  1, 1, 2
                1004,  1, 1, 2
                1006,  1, 1, 2
                1008,  1, 1, 2
                1010,  1, 1, 2
                1012,  1, 1, 2
                1014,  1, 1, 2
                1016,  1, 1, 2
                1018,  1, 1, 2
                1020,  1, 1, 0
                1022,  1, 1, 0
                1024,  1, 1, 0
                1026,  1, 1, 0
                1028,  1, 1, 0
                1030,  1, 1, 4
                1032,  1, 1, 4
                1034,  1, 1, 4
                1036,  1, 1, 4
                1038,  1, 1, 4
                1040,  1, 1, 4
                1042,  1, 1, 4
                1044,  1, 1, 4
                1046,  1, 1, 4
                1048,  1, 1, 4
                1050,  1, 1, 4
                1052,  1, 1, 4
                1054,  1, 1, 4
                1056,  1, 1, 4
                1058,  1, 1, 4
                1060,  1, 1, 0
                1062,  1, 1, 0
                1064,  1, 1, 0
                1066,  1, 1, 0
                1068,  1, 1, 0
                1070,  1, 1, 2
                1072,  1, 1, 2
                1074,  1, 1, 2
                1076,  1, 1, 2
                1078,  1, 1, 2
                1080,  1, 1, 2
                1082,  1, 1, 2
                1084,  1, 1, 2
                1086,  1, 1, 2
                1088,  1, 1, 2
                1090,  1, 1, 2
                1092,  1, 1, 2
                1094,  1, 1, 2
                1096,  1, 1, 2
                1098,  1, 1, 2
                1100,  1, 1, 2
                1102,  1, 1, 2
                1104,  1, 1, 2
                1106,  1, 1, 2
                1108,  1, 1, 2
                1110,  1, 1, 2
                1112,  1, 1, 2
                1114,  1, 1, 2
                1116,  1, 1, 2
                1118,  1, 1, 2
                1120,  1, 1, 2
                1122,  1, 1, 2
                1124,  1, 1, 2
                1126,  1, 1, 2
                1128,  1, 1, 2
                1130,  1, 1,15
                1132,  1, 1,15
                1134,  1, 1,15
                1136,  1, 1,15
                1138,  1, 1,15
                1140,  1, 1, 1
                1142,  1, 1, 1
                1144,  1, 1, 1
                1146,  1, 1, 1
                1148,  1, 1, 1
                1150,  1, 1, 1
                1152,  1, 1, 1
                1154,  1, 1, 1
                1156,  1, 1, 1
                1158,  1, 1, 1
                1160,  1, 1, 2
                1162,  1, 1, 2
                1164,  1, 1, 2
                1166,  1, 1, 2
                1168,  1, 1, 2
                1170,  1, 1, 2
                1172,  1, 1, 2
                1174,  1, 1, 2
                1176,  1, 1, 2
                1178,  1, 1, 2
                1180,  1, 1, 2
                1182,  1, 1, 2
                1184,  1, 1, 2
